NOM                           Свиносапиенс
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          8
TAILLE                        1
[ANIMATION]
ANIM__DPL                     COCHONM_DPL 8 12
ANIM__ARA                     COCHONM_DPL 8 12
ANIM__ARE                     COCHONM_DPL 8 12
ANIM__DRA                     COCHONM_DPL 8 12
ANIM__DRE                     COCHONM_DPL 8 12
ANIM__SPL                     COCHONM_SPL 8 1
ANIM__ASP                     -	- -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     COCHONM_DPL 8 12
ANIM__MOR                     COCHONM_DPL 8 12
ANIM__MOV                     COCHONM_DPL 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       70
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         0
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             4
V                             4
B                             31
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   
ARMES                         
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  2
DPL_RIVIERE                   5
ATTAQUE                       1
ROMPRE                        2
EMBUSCADE                     2
MARCHE_FORCEE                 2
FORTIFICATION                 2
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
