NOM                           Балгатор
FAMILLE                       ANGE
UNITE_COMBATTANTE             1
CAMP                          7
TAILLE                        3
[ANIMATION]
ANIM__DPL                     DEMON___BALGATOR_VOL 8 12
ANIM__ARA                     DEMON___BALGATOR_ARE 8 12
ANIM__ARE                     DEMON___BALGATOR_ARE 8 12
ANIM__DRA                     DEMON___BALGATOR_ARE 8 12
ANIM__DRE                     DEMON___BALGATOR_ARE 8 12
ANIM__SPL                     DEMON___BALGATOR_VOL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     DEMON___BALGATOR_VOL 8 12
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     DEMON___BALGATOR_MOR 4 12
ANIM__MOR                     DEMON___BALGATOR_MOR 4 12
ANIM__MOV                     DEMON___BALGATOR_MOR 4 12
ANIM__APP                     DEMON___BALGATOR_TSA24F 1 24
SELECTIONNABLE                oui
MORAL                         B
ENERGIE                       1500
FEU_ENERGIE__MAX              1
VITESSE                       8
NIVEAU                        1
SORT1_IMAGE1                  BOULE_DE_FEU
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        DEMON
MANA                          0
MANA__MAX                     0
FORCE                         222
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			600 601 600 601
DEPLACEMENT 			602 602 602 601
ATTAQUE 			603 603 603 602
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Балгатор - мощный демон, который распространяет смерть, где он проходит. Он был вызван некромансером, чтобы выполнять важные миссии. Однако, лояльность Балгатора ненадежна, потому что он - демон.
ARMES                         Огненные Шары, Заклинания
PA                            7
DPL_PLAINE                    1
DPL_FORET                     2
DPL_MONTAGNE                  3
DPL_RIVIERE                   1
ATTAQUE                       1
ROMPRE                        1
EMBUSCADE                     2
MARCHE_FORCEE                 -1
FORTIFICATION                 -1
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
