NOM                           Элементаль_Воздуха
FAMILLE                       ANGE
UNITE_COMBATTANTE             1
CAMP                          8
TAILLE                        1
[ANIMATION]
ANIM__DPL                     AIR_DPL 8 12
ANIM__ARA                     AIR_DPL 8 12
ANIM__ARE                     AIR_DPL 8 12
ANIM__DRA                     AIR_DPL 8 12
ANIM__DRE                     AIR_DPL 8 12
ANIM__SPL                     AIR_DPL 8 12
ANIM__ASP                     AIR_DPL 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     AIR_DPL 8 12
ANIM__MOR                     AIR_DPL 8 12
ANIM__MOV                     AIR_DPL 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       300
FEU_ENERGIE__MAX              0
VITESSE                       6
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         70
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               50
FORCE_PAR_NIV                 5
SELECTION 			820 820 820 820
DEPLACEMENT 			820 820 820 820
ATTAQUE 			820 820 820 820
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Элементали - создания, которые являются силами природы. Воздушный элементаль призван Висмерхиллом. Он составлен из ветров.
ARMES                         Порыв ветра
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  2
DPL_RIVIERE                   5
ATTAQUE                       1
ROMPRE                        2
EMBUSCADE                     2
MARCHE_FORCEE                 2
FORTIFICATION                 2
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
