NOM                           Элементаль_Воды
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          8
TAILLE                        2
[ANIMATION]
ANIM__DPL                     EAU_DPL 8 12
ANIM__ARA                     EAU_ARE 8 12
ANIM__ARE                     EAU_ARE 8 12
ANIM__DRA                     EAU_ARE 8 12
ANIM__DRE                     EAU_ARE 8 12
ANIM__SPL                     EAU_DPL 8 12
ANIM__ASP                     EAU_DPL 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     EAU_MOR 4 12
ANIM__MOR                     EAU_MOR 4 12
ANIM__MOV                     EAU_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       600
FEU_ENERGIE__MAX              0
VITESSE                       3
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         100
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               50
FORCE_PAR_NIV                 5
SELECTION 			780 780 780 780
DEPLACEMENT 			780 780 780 780
ATTAQUE 			780 780 780 780
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Элементали - создания, которые являются силами природы. Водный элементаль призван властью магов Правосудия, чтобы смыть грехи мира. Он составлен из ливней и тумана.
ARMES                         Ливень
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  2
DPL_RIVIERE                   5
ATTAQUE                       1
ROMPRE                        2
EMBUSCADE                     2
MARCHE_FORCEE                 2
FORTIFICATION                 2
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
