NOM                           Ёлементаль_«емли
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          8
TAILLE                        2
[ANIMATION]
ANIM__DPL                     TERRE_DPL 8 12
ANIM__ARA                     TERRE_ARE 8 12
ANIM__ARE                     TERRE_ARE 8 12
ANIM__DRA                     TERRE_ARE 8 12
ANIM__DRE                     TERRE_ARE 8 12
ANIM__SPL                     TERRE_SPL 8 12
ANIM__ASP                     TERRE_ARE 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     TERRE_MOR 4 12
ANIM__MOR                     TERRE_MOR 4 12
ANIM__MOV                     TERRE_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       1300
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         150
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Ёлементали - создани€, которые €вл€ютс€ силами природы. Ёлементаль земли призван властью мага »мперии. ќн состоит из смеси глины и земли. ≈го медлительность компенсируетс€ неизмеримой силой.
ARMES                         ќстрые когти
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  2
DPL_RIVIERE                   5
ATTAQUE                       1
ROMPRE                        2
EMBUSCADE                     2
MARCHE_FORCEE                 2
FORTIFICATION                 2
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
