NOM                           Боевое_Дерево_Эльфов
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          5
TAILLE                        2
[ANIMATION]
ANIM__DPL                     ARBRE_DPL 8 12
ANIM__ARA                     ARBRE_ARE 8 12
ANIM__ARE                     ARBRE_ARE 8 12
ANIM__DRA                     ARBRE_ARE 8 12
ANIM__DRE                     ARBRE_ARE 8 12
ANIM__SPL                     ARBRE_DPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     ARBRE_MOR 8 12
ANIM__MOR                     ARBRE_MOR 8 12
ANIM__MOV                     ARBRE_MOR 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       600
FEU_ENERGIE__MAX              3
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         150
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               100
FORCE_PAR_NIV                 10
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Чтобы защитить свои леса, Эльфы используют деревья, оживляемые духом природы. Оживляемое дерево - сильный противник из-за колоссальной физической силы и огромной стабильности. Однако оно очень уязвимо к огню.
ARMES                         Ветки
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  2
DPL_RIVIERE                   5
ATTAQUE                       1
ROMPRE                        2
EMBUSCADE                     2
MARCHE_FORCEE                 2
FORTIFICATION                 2
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
