NOM                           Ёльфийский_Ћучник_
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          5
TAILLE                        1
[ANIMATION]
ANIM__DPL                     ELFE___ARCHER_DPL 8 12
ANIM__ARA                     ELFE___ARCHER_ARE 8 12
ANIM__ARE                     ELFE___ARCHER_ARE 8 12
ANIM__DRA                     ELFE___ARCHER_ARE 8 12
ANIM__DRE                     ELFE___ARCHER_ARE 8 12
ANIM__SPL                     ELFE___ARCHER_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     ELFE___ARCHER_MOR 8 12
ANIM__MOR                     ELFE___ARCHER_MOR 8 12
ANIM__MOV                     ELFE___ARCHER_MOR 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         B
ENERGIE                       240
FEU_ENERGIE__MAX              0
VITESSE                       3
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        ARCHER
MANA                          0
MANA__MAX                     0
FORCE                         16
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     TOUJOURS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               100
FORCE_PAR_NIV                 7
SELECTION 			340 341 342 343
DEPLACEMENT 			340 341 342 343
ATTAQUE 			340 341 342 343
.
[BESTIAIRE]
DESCRIPTION                   Ёльфийские Ћучники - лучшие из всех. ќни имеют лучшие луки и волшебные стрелы, основанные на духе природы.
ARMES                         Ёльфийский Ћук
PA                            5
DPL_PLAINE                    1
DPL_FORET                     1
DPL_MONTAGNE                  4
DPL_RIVIERE                   4
ATTAQUE                       1
ROMPRE                        2
EMBUSCADE                     2/1+BS2
MARCHE_FORCEE                 1
FORTIFICATION                 2
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
