NOM                           Лучник_Света
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          2
TAILLE                        1
[ANIMATION]
ANIM__DPL                     LUMIERE___ARCHER_DPL 8 12
ANIM__ARA                     LUMIERE___ARCHER_ARE 8 12
ANIM__ARE                     LUMIERE___ARCHER_ARE 8 12
ANIM__DRA                     LUMIERE___ARCHER_ARE 8 12
ANIM__DRE                     LUMIERE___ARCHER_ARE 8 12
ANIM__SPL                     LUMIERE___ARCHER_SPL 8 12
ANIM__ASP                     LUMIERE___ARCHER_DPL 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     LUMIERE___ARCHER_VOR 8 12
ANIM__MOR                     LUMIERE___ARCHER_MOR 4 12
ANIM__MOV                     LUMIERE___ARCHER_MOV 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         B
ENERGIE                       300
FEU_ENERGIE__MAX              0
VITESSE                       3
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        ARCHER
MANA                          0
MANA__MAX                     0
FORCE                         5
REGENERATION                  0
POISON                        0
HARNAIS                       -
FORMATION                     TOUJOURS
R                             31
V                             0
B                             0
ENERGIE_PAR_NIV               100
FORCE_PAR_NIV                 5
SELECTION 			260 261 262 260
DEPLACEMENT 			262 260 262 262
ATTAQUE 			263 262 263 261
.
[BESTIAIRE]
DESCRIPTION                   Сила лучника заключается в его мастерстве стрельбы из лука. Он - естественное дополнение к солдатам на поле боя.
ARMES                         Составной Лук
PA                            4
DPL_PLAINE                    1
DPL_FORET                     2
DPL_MONTAGNE                  3
DPL_RIVIERE                   5
ATTAQUE                       1
ROMPRE                        3
EMBUSCADE                     2
MARCHE_FORCEE                 2
FORTIFICATION                 4
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
