NOM                           Некромант_Черной_Луны
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          3
TAILLE                        1
[ANIMATION]
ANIM__DPL                     NECROMANT_DPL 8 12
ANIM__ARA                     NECROMANT_SPL 8 12
ANIM__ARE                     NECROMANT_SPL 8 12
ANIM__DRA                     NECROMANT_SPL 8 12
ANIM__DRE                     NECROMANT_SPL 8 12
ANIM__SPL                     NECROMANT_SPL 8 12
ANIM__ASP                     NECROMANT_SPL 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     NECROMANT_SSP 8 12
ANIM__SIN                     NECROMANT_SIN 8 12
ANIM__SPJ                     NECROMANT_SPJ 8 12
ANIM__APU                     NECROMANT_APU 8 12
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     NECROMANT_VOR 4 12
ANIM__MOR                     NECROMANT_MOR 4 12
ANIM__MOV                     NECROMANT_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       200
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  ANIMATION_DES_MORTS
SORT2_IMAGE2                  PRENDRE_LA_VIE
SORT3_OMBRE                   INVOCATION_DEMONIAQUE
SORT4_LUMIERE                 ERRADICATION
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        MAGICIEN
MANA                          300
MANA__MAX                     300
FORCE                         40
REGENERATION                  0
POISON                        0
HARNAIS                       -
FORMATION                     JAMAIS
R                             0
V                             0
B                             0
ENERGIE_PAR_NIV               100
FORCE_PAR_NIV                 10
SELECTION 			540 541 540 541
DEPLACEMENT 			542 543 542 541
ATTAQUE 			543 541 543 542
.
[BESTIAIRE]
DESCRIPTION                   Некромансеры читают заклинания и берут свою силу из жестокого колдовства и темной энергии смерти. Они даже стремятся воспользоваться преимуществом сил подземного мира. Их присутствие в армиях Черной Луны делает эти армии несокрушимыми на поле боя.
ARMES                         Некромансия
PA                            5
DPL_PLAINE                    1
DPL_FORET                     2
DPL_MONTAGNE                  3
DPL_RIVIERE                   2
ATTAQUE                       1
ROMPRE                        1
EMBUSCADE                     -1
MARCHE_FORCEE                 1
FORTIFICATION                 -1
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
