NOM                           Лорд_Отрицания
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          3
TAILLE                        1
[ANIMATION]
ANIM__DPL                     SNEG_DPL 8 12
ANIM__ARA                     SNEG_ARE 8 12
ANIM__ARE                     SNEG_ARE 8 12
ANIM__DRA                     SNEG_SPJ 8 12
ANIM__DRE                     SNEG_SPJ 8 12
ANIM__SPL                     SNEG_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     SNEG_SPJ 8 12
ANIM__SIN                     SNEG_SPJ 8 12
ANIM__SPJ                     SNEG_SPJ 8 12
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     SNEG_MOR 8 12
ANIM__MOR                     SNEG_MOR 8 12
ANIM__MOV                     SNEG_MOR 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       5000
FEU_ENERGIE__MAX              0
VITESSE                       3
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         500
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             18
V                             23
B                             7
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			980 981 982 983
DEPLACEMENT 			980 981 982 983
ATTAQUE 			980 981 982 983
.
[BESTIAIRE]
DESCRIPTION                   Лорд Отрицания один из принципиальных слуг Черной Луны. Его силы ужасающи и заставляют врагов трястись от страха.
ARMES                         Меч Отрицания
PA                            7
DPL_PLAINE                    1
DPL_FORET                     2
DPL_MONTAGNE                  3
DPL_RIVIERE                   2
ATTAQUE                       1
ROMPRE                        1
EMBUSCADE                     -1
MARCHE_FORCEE                 1
FORTIFICATION                 -1
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
