NOM                           Тролль_Черной_Луны
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          3
TAILLE                        2
[ANIMATION]
ANIM__DPL                     LUNE_NOIRE___TROLL_DPL 8 12
ANIM__ARA                     LUNE_NOIRE___TROLL_ARE 8 12
ANIM__ARE                     LUNE_NOIRE___TROLL_ARE 8 12
ANIM__DRA                     LUNE_NOIRE___TROLL_ARE 8 12
ANIM__DRE                     LUNE_NOIRE___TROLL_ARE 8 12
ANIM__SPL                     LUNE_NOIRE___TROLL_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     LUNE_NOIRE___TROLL_MOR 4 12
ANIM__MOR                     LUNE_NOIRE___TROLL_MOR 4 12
ANIM__MOV                     LUNE_NOIRE___TROLL_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       400
FEU_ENERGIE__MAX              0
VITESSE                       4
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         150
REGENERATION                  2
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             18
V                             23
B                             7
ENERGIE_PAR_NIV               250
FORCE_PAR_NIV                 100
SELECTION 			73 74 75 76
DEPLACEMENT 			73 74 75 76
ATTAQUE 			73 74 75 76
.
[BESTIAIRE]
DESCRIPTION                   Тролли - большие имбецильные создания с внушительной физической силой. Его любимое оружие - гигантская, отделанная железом дубина, выпиленная из ствола дерева. Тролль имеет специфическую способность лечить свои раны. Тролли наиболее часто служат Черной Луне.
ARMES                         Ствол дерева
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  5
DPL_RIVIERE                   1
ATTAQUE                       1
ROMPRE                        3
EMBUSCADE                     -1
MARCHE_FORCEE                 2
FORTIFICATION                 -1
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
