NOM                           Ўтурмова€_Ѕашн€
FAMILLE                       MACHINES__DE__GUERRE
UNITE_COMBATTANTE             1
CAMP                          8
TAILLE                        3
[ANIMATION]
ANIM__DPL                     TOUR_DPL
ANIM__ARA                     -
ANIM__ARE                     CATAPULTE__ARE
ANIM__DRA                     -
ANIM__DRE                     -
ANIM__SPL                     CATAPULTE__SPL
ANIM__ASP                     -
ANIM__VOL                     -
ANIM__DEC                     -
ANIM__ATT                     -
ANIM__ECR                     -
ANIM__SSP                     -
ANIM__SIN                     -
ANIM__SPJ                     -
ANIM__APU                     -
ANIM__CCA                     -
ANIM__CCH                     -
ANIM__VOR                     -
ANIM__MOR                     CATAPULTE__MOR
ANIM__MOV                     -
ANIM__APP                     -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       3000
FEU_ENERGIE__MAX              3
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        CATAPULTE
MANA                          0
MANA__MAX                     0
FORCE                         0
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               1500
FORCE_PAR_NIV                 0
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Ўтурмова€ Ѕашн€ - осадное орудие, используемое осаждающими войсками, чтобы благополучно подн€тьс€ на вершину стен. Ёта военна€ машина полезна только в течение осад крепостей.
ARMES                         Ќеприменимо
PA                            3
DPL_PLAINE                    1
DPL_FORET                     -1
DPL_MONTAGNE                  -1
DPL_RIVIERE                   -1
ATTAQUE                       1
ROMPRE                        -1
EMBUSCADE                     -1
MARCHE_FORCEE                 -1
FORTIFICATION                 -1
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
