NOM                           Мурата
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          9
TAILLE                        1
[ANIMATION]
ANIM__DPL                     MURATA_DPL 8 12
ANIM__ARA                     MURATA_ARA 8 12
ANIM__ARE                     MURATA_ARE 8 12
ANIM__DRA                     MURATA_DRA 8 12
ANIM__DRE                     MURATA_DRE 8 12
ANIM__SPL                     MURATA_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     MURATA_MOR 4 12
ANIM__MOR                     MURATA_MOR 4 12
ANIM__MOV                     MURATA_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       1250
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        MAGICIEN
MANA                          0
MANA__MAX                     0
FORCE                         375
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			1120 1121 1120 1121
DEPLACEMENT 			1122 1122 1122 1122
ATTAQUE 			1123 1123 1123 1123
.
[BESTIAIRE]
DESCRIPTION                   Самурай, переживший кораблекрушение, Мурата - отличный боец, использующий боевые исскуства Востока, основанные на смертельной точности. Он один из первых компаньонов Висмерхилла.
ARMES                         Сабля (Катана)
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  2
DPL_RIVIERE                   5
ATTAQUE                       1
ROMPRE                        2
EMBUSCADE                     2
MARCHE_FORCEE                 2
FORTIFICATION                 2
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
