NOM                           Карлик_с_Топором
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          4
TAILLE                        1
[ANIMATION]
ANIM__DPL                      NAIN_HACHEUR_DPL 8 12
ANIM__ARA                      NAIN_HACHEUR_ARA 8 12
ANIM__ARE                      NAIN_HACHEUR_ARE 8 12
ANIM__DRA                      NAIN_HACHEUR_DRA 8 12
ANIM__DRE                      NAIN_HACHEUR_DRE 8 12
ANIM__SPL                      NAIN_HACHEUR_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                      NAIN_HACHEUR_VOR 8 12
ANIM__MOR                      NAIN_HACHEUR_MOR 4 12
ANIM__MOV                      NAIN_HACHEUR_MOV 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       400
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         60
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     TOUJOURS
R                             14
V                             9
B                             4
ENERGIE_PAR_NIV               50
FORCE_PAR_NIV                 10
SELECTION 			320 321 322 323
DEPLACEMENT 			320 321 322 323
ATTAQUE 			320 321 322 323
.
[BESTIAIRE]
DESCRIPTION                   Карлик с Топором является наиболее свирепым бойцом карликов. Он не боится наиболее трудных поединков и часто демонстрирует непримиримый фанатизм. Кроме того, этот солдат оборудован изумительными оружием и броней карликов-кузнецов.
ARMES                         Топор
PA                            4
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  1
DPL_RIVIERE                   6
ATTAQUE                       1
ROMPRE                        4
EMBUSCADE                     2/1
MARCHE_FORCEE                 3
FORTIFICATION                 3
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
