NOM                           Барон_Морка
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          9
TAILLE                        2
[ANIMATION]
ANIM__DPL                     BARON_DPL 8 12
ANIM__ARA                     BARON_ARA 8 12
ANIM__ARE                     BARON_ASP 8 12
ANIM__DRA                     BARON_DRE 8 12
ANIM__DRE                     BARON_DRE 8 12
ANIM__SPL                     BARON_SPL 8 12
ANIM__ASP                     BARON_ASP 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     BARON_MOR 4 12
ANIM__MOR                     BARON_MOR 4 12
ANIM__MOV                     BARON_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       4000
FEU_ENERGIE__MAX              1
VITESSE                       4
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         700
REGENERATION                  1
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			1040 1041 1040 1041
DEPLACEMENT 			1042 1040 1042 1041
ATTAQUE 			1043 1042 1043 1043
.
[BESTIAIRE]
DESCRIPTION                   Грелдинард, барон Морка - один их могущественнейших сеньоров империи, вассал и правая рука Хаазиля Торна. Никто никогда не видел его лица. В бой едет на огромной прожорливой твари. Обладает способностью командовать такими существами как орки, тролли и великаны. Этого страшного противника надо принимать всерьез.
ARMES                         Огненный меч
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
