NOM                           Свинья
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          8
TAILLE                        1
[ANIMATION]
ANIM__DPL                     COCHON_DPL 8 12
ANIM__ARA                     COCHON_DPL 8 12
ANIM__ARE                     COCHON_DPL 8 12
ANIM__DRA                     COCHON_DPL 8 12
ANIM__DRE                     COCHON_DPL 8 12
ANIM__SPL                     COCHON_SPL 8 12
ANIM__ASP                     COCHON_SPL 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     COCHON_MORV 4 12
ANIM__MOR                     COCHON_MOR  4 12
ANIM__MOV                     COCHON_MORV 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       70
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         5
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			90 90 90 90
DEPLACEMENT 			90 90 90 90
ATTAQUE 			90 90 90 90
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Свинья дает вкусную ветчину. Если ее поджарить на огне, то получится превосходная еда.
ARMES                         Рыло
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
