NOM                           Левиафан
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          8
TAILLE                        4
[ANIMATION]
ANIM__DPL                     LEVIATHAN_DPL 8 12
ANIM__ARA                     LEVIATHAN_DPL 8 12
ANIM__ARE                     LEVIATHAN_DPL 8 12
ANIM__DRA                     LEVIATHAN_DPL 8 12
ANIM__DRE                     LEVIATHAN_DPL 8 12
ANIM__SPL                     LEVIATHAN_DPL 8 12
ANIM__ASP                     -
ANIM__VOL                     -
ANIM__DEC                     -
ANIM__ATT                     -
ANIM__ECR                     -
ANIM__SSP                     -
ANIM__SIN                     -
ANIM__SPJ                     -
ANIM__APU                     -
ANIM__CCA                     -
ANIM__CCH                     -
ANIM__VOR                     LEVIATHAN_MOR 4 7
ANIM__MOR                     LEVIATHAN_MOR 4 7
ANIM__MOV                     LEVIATHAN_MOR 4 7
ANIM__APP                     -
SELECTIONNABLE                oui
MORAL                         E
ENERGIE                       2000
FEU_ENERGIE__MAX              0
VITESSE                       5
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        ARCHER
MANA                          0
MANA__MAX                     0
FORCE                         90
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               200
FORCE_PAR_NIV                 20
SELECTION 		      671 671 672 672	
DEPLACEMENT 		      671 671 672 672	
ATTAQUE 		      671 671 672 672	
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Левиафан - гигантское четырехногое животное с очень большими бивнями. Империя использует их в качестве платформ для стрельбы лучников. Однако, только в нескольких местах империи разводят их. Поэтому обычно левиафана ловят и тренируют для войны, прежде чем он попадает в армию империи.
ARMES                         Топтание
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
