NOM                           Крестьянка
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          6
TAILLE                        1
[ANIMATION]
ANIM__DPL                     PAYSANNE_DPL 8 12
ANIM__ARA                     PAYSANNE_DPL 8 12
ANIM__ARE                     PAYSANNE_DPL 8 12
ANIM__DRA                     PAYSANNE_DPL 8 12
ANIM__DRE                     PAYSANNE_DPL 8 12
ANIM__SPL                     PAYSANNE_SPL 8 12
ANIM__ASP                     PAYSANNE_SPL 8 12
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     PAYSANNE_MOR 8 12
ANIM__MOR                     PAYSANNE_MOR 8 12
ANIM__MOV                     PAYSANNE_MOR 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         D
ENERGIE                       50
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         25
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               5
FORCE_PAR_NIV                 5
SELECTION 			860 861 862 863
DEPLACEMENT 			860 861 862 863
ATTAQUE 			860 861 862 863
.
[BESTIAIRE]
DESCRIPTION                   Крестьянка - жена крестьянина. Если на ферму нападают, то она делает все возможное для защиты вместе с мужем.
ARMES                         Нет
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
