NOM                           Балгатор
FAMILLE                       ANGE
UNITE_COMBATTANTE             1
CAMP                          7
TAILLE                        3
[ANIMATION]
ANIM__DPL                     DEMON___BALGATOR_VOL 8 12
ANIM__ARA                     DEMON___BALGATOR_ARE 8 12
ANIM__ARE                     DEMON___BALGATOR_ARE 8 12
ANIM__DRA                     DEMON___BALGATOR_ARE 8 12
ANIM__DRE                     DEMON___BALGATOR_ARE 8 12
ANIM__SPL                     DEMON___BALGATOR_VOL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     DEMON___BALGATOR_VOL 8 12
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     DEMON___BALGATOR_MOR 4 12
ANIM__MOR                     DEMON___BALGATOR_MOR 4 12
ANIM__MOV                     DEMON___BALGATOR_MOR 4 12
ANIM__APP                     DEMON___BALGATOR_TSA24F 1 24
SELECTIONNABLE                oui
MORAL                         B
ENERGIE                       1500
FEU_ENERGIE__MAX              1
VITESSE                       8
NIVEAU                        1
SORT1_IMAGE1                  BOULE_DE_FEU
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        DEMON
MANA                          0
MANA__MAX                     0
FORCE                         222
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			600 601 600 601
DEPLACEMENT 			602 602 602 601
ATTAQUE 			603 603 603 602
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Балгатор - могущественный демон, который сеет за собой смерть. Его призывает некромант для выполнения важных миссий. Это отличный боец, использующий огромные физические возможности и магию для покорения врагов. Однако, полагаться на балгатора не стоит, он демон, а значит ненадежен.
ARMES                         Огненные шары, заклинания
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
