NOM                           Младший_Демон
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          7
TAILLE                        1
[ANIMATION]
ANIM__DPL                     DEMON___PETIT_DEMON_DPL 8 12
ANIM__ARA                     DEMON___PETIT_DEMON_ARE 8 12
ANIM__ARE                     DEMON___PETIT_DEMON_ARE 8 12
ANIM__DRA                     DEMON___PETIT_DEMON_ARE 8 12
ANIM__DRE                     DEMON___PETIT_DEMON_ARE 8 12
ANIM__SPL                     DEMON___PETIT_DEMON_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     DEMON___PETIT_DEMON_MOR 8 12 
ANIM__MOR                     DEMON___PETIT_DEMON_MOR 8 12
ANIM__MOV                     DEMON___PETIT_DEMON_MOR 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       400
FEU_ENERGIE__MAX              1
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        DEMON
MANA                          0
MANA__MAX                     0
FORCE                         40
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             15
V                             0
B                             0
ENERGIE_PAR_NIV               50
FORCE_PAR_NIV                 15
SELECTION 			640 641 642 643
DEPLACEMENT 			640 641 642 643
ATTAQUE 			640 641 642 643
.
[BESTIAIRE]
DESCRIPTION                   Младший демон - выходец их первых кругов ада. Его способности не очень могущественны. Однако, его присутствие означае прибытие более сильных демонов.
ARMES                         Маленькое копье
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
