NOM                           Знамя_Гномов
FAMILLE                       BATIMENT
UNITE_COMBATTANTE             0
CAMP                          3
TAILLE                        2
[ANIMATION]
ANIM__DPL                     sPIC_DEMON
ANIM__ARA                     sPIC_DEMON
ANIM__ARE                     sPIC_DEMON
ANIM__DRA                     -
ANIM__DRE                     -
ANIM__SPL                     sPIC_DEMON
ANIM__ASP                     -
ANIM__VOL                     -
ANIM__DEC                     -
ANIM__ATT                     -
ANIM__ECR                     -
ANIM__SSP                     -
ANIM__SIN                     -
ANIM__SPJ                     -
ANIM__APU                     -
ANIM__CCA                     -
ANIM__CCH                     -
ANIM__VOR                     -
ANIM__MOR                     -
ANIM__MOV                     -
ANIM__APP                     -
SELECTIONNABLE                non
MORAL                         C
ENERGIE                       80000
FEU_ENERGIE__MAX              0
VITESSE                       0
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  0
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        MAGICIEN
MANA                          0
MANA__MAX                     0
FORCE                         300
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
.
