NOM                           Рыцарь_Высших_Эльфов
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          5
TAILLE                        1
[ANIMATION]
ANIM__DPL                     HT_DPL 8 12
ANIM__ARA                     HT_ARA 8 12
ANIM__ARE                     HT_ARE 8 12
ANIM__DRA                     HT_DRA 8 12
ANIM__DRE                     HT_DRE 8 12
ANIM__SPL                     HT_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     HT_SIN 8 12
ANIM__SPJ                     HT_SIN 8 12
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     HT_MOR 8 12
ANIM__MOR                     HT_MOR 8 12
ANIM__MOV                     HT_MOR 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         B
ENERGIE                       500
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  INVOCATION_ELEMENTAIRE
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          99
MANA__MAX                     99
FORCE                         40
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             0
V                             0
B                             0
ENERGIE_PAR_NIV               100
FORCE_PAR_NIV                 10
SELECTION 			340 341 342 343
DEPLACEMENT 			340 341 342 343
ATTAQUE 			340 341 342 343
.
[BESTIAIRE]
DESCRIPTION                   Рыцарь Высших Эльфов, которого учат магии. Он элитарный воин, как правило, командующий армией эльфов.
ARMES                         Меч эльфов
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
