NOM                           Гагендорф
FAMILLE                       DRAGON
UNITE_COMBATTANTE             1
CAMP                          9
TAILLE                        3
[ANIMATION]
ANIM__DPL                     DRAGON_VOL 8 12
ANIM__ARA                     DRAGON_ARE 8 12
ANIM__ARE                     DRAGON_ARE 8 12
ANIM__DRA                     DRAGON_ARE 8 12
ANIM__DRE                     DRAGON_ARE 8 12
ANIM__SPL                     DRAGON_VOL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     DRAGON_VOL 8 12
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     DRAGON_MOR 4 12
ANIM__MOR                     DRAGON_MOR 4 12
ANIM__MOV                     DRAGON_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       10000
FEU_ENERGIE__MAX              0
VITESSE                       8
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        DRAGON
MANA                          0
MANA__MAX                     0
FORCE                         1500
REGENERATION                  0
POISON                        -
HARNAIS                       1
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			1140 1141 1140 1141
DEPLACEMENT 			1142 1141 1142 1141
ATTAQUE 			1143 1142 1143 1141
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Гагендорф Первый-правящий император. Он монарх, не особо прозорлив, управляет империей огнем и мечом, пытаясь помешать распаду, наводя порядок. Ведя армию в бой, едет верхом на огромном драконе.
ARMES                         Меч
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
