NOM                           Имперский_Левиафан
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          0
TAILLE                        4
[ANIMATION]
ANIM__DPL                     LEVIATHAN_DPL 8 12
ANIM__ARA                     LEVIATHAN_DPL 8 12
ANIM__ARE                     LEVIATHAN_DPL 8 12
ANIM__DRA                     LEVIATHAN_DPL 8 12
ANIM__DRE                     LEVIATHAN_DPL 8 12
ANIM__SPL                     LEVIATHAN_DPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     LEVIATHAN_MOR 4 7
ANIM__MOR                     LEVIATHAN_MOR 4 7
ANIM__MOV                     LEVIATHAN_MOR 4 7
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       2000
FEU_ENERGIE__MAX              0
VITESSE                       5
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        ARCHER
MANA                          0
MANA__MAX                     0
FORCE                         35
REGENERATION                  0
POISON                        -
HARNAIS                       1
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               70
FORCE_PAR_NIV                 8
SELECTION 		      671 672 671 672
DEPLACEMENT 		      671 672 671 672	
ATTAQUE 		      671 672 671 672	
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Имперский левиафан - гигантское четырехногое животное с большими бивнями. Империя использует их в качестве платформ для стрельбы для лучников. Однако, только в нескольких местах в Империи выращивают левиафанов.
ARMES                         Топтание
PA                            5
DPL_PLAINE                    1
DPL_FORET                     3
DPL_MONTAGNE                  4
DPL_RIVIERE                   4
ATTAQUE                       1
ROMPRE                        -
EMBUSCADE                     5
MARCHE_FORCEE                 +2
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
