NOM                           Фратус_Ужасный
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          9
TAILLE                        2
[ANIMATION]
ANIM__DPL                     FRATUS_DPL 8 12
ANIM__ARA                     FRATUS_DPL 8 12
ANIM__ARE                     FRATUS_DPL 8 12
ANIM__DRA                     FRATUS_DPL 8 12
ANIM__DRE                     FRATUS_DPL 8 12
ANIM__SPL                     FRATUS_DPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     FRATUS_DPL 8 12
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     FRATUS_DPL 8 12
ANIM__MOR                     FRATUS_DPL 8 12
ANIM__MOV                     FRATUS_DPL 8 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         A
ENERGIE                       4000
FEU_ENERGIE__MAX              1
VITESSE                       3
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         500
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
SELECTION 			1060 1061 1060 1061
DEPLACEMENT 			1062 1060 1062 1062
ATTAQUE 			1063 1062 1063 1063
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Фратус Ужасный - новый вождь клана Света. Отпетый пройдоха и мошенник, он нисколько не сомневается в том, что делает, он мечтает уничтожить империю и строит заговоры. В битве разъезжает на колеснице, вооружен мечом.
ARMES                         Меч предательства
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
