NOM                           Всадник_Света
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          2
TAILLE                        2
[ANIMATION]
ANIM__DPL                     CAV_DPL_L 8 12
ANIM__ARA                     CAV_ARE_L 8 12
ANIM__ARE                     CAV_ARE_L 8 12
ANIM__DRA                     CAV_ARE_L 8 12
ANIM__DRE                     CAV_ARE_L 8 12
ANIM__SPL                     CAV_DPL_L 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     CAV_MOR_L 4 12
ANIM__MOR                     CAV_MOR_L 4 12
ANIM__MOV                     CAV_MOR_L 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         B
ENERGIE                       500
FEU_ENERGIE__MAX              0
VITESSE                       5
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         70
REGENERATION                  0
POISON                        0
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               110
FORCE_PAR_NIV                 10
SELECTION 			260 261 262 260
DEPLACEMENT 			262 260 262 262
ATTAQUE 			302 302 302 302
.
[BESTIAIRE]
DESCRIPTION                   Легкий всадник вооружен коротким копьем и ездит на быстрой, но не очень сильной лошади. Легкая кавалерия - обычный вид кавалерии в армии, так как им не требуется особая подготовка. Отряды легкой кавалерии используются для разведки, как передовые отряды, для поиска продовольствия на захваченной территории, для преследования врага.
ARMES                         Копье
PA                            6
DPL_PLAINE                    1
DPL_FORET                     4
DPL_MONTAGNE                  4
DPL_RIVIERE                   4
ATTAQUE                       1
ROMPRE                        -
EMBUSCADE                     6
MARCHE_FORCEE                 +3
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
