NOM                           Всадник_Черной_Луны
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          3
TAILLE                        2
[ANIMATION]
ANIM__DPL                     CAV_DPL_LN 8 12
ANIM__ARA                     CAV_ARE_LN 8 12
ANIM__ARE                     CAV_ARE_LN 8 12
ANIM__DRA                     CAV_ARE_LN 8 12
ANIM__DRE                     CAV_ARE_LN 8 12
ANIM__SPL                     CAV_DPL_LN 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     CAV_MOR_LN 4 12
ANIM__MOR                     CAV_MOR_LN 4 12
ANIM__MOV                     CAV_MOR_LN 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         D
ENERGIE                       400
FEU_ENERGIE__MAX              0
VITESSE                       8
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         60
REGENERATION                  0
POISON                        -
HARNAIS                       -
FORMATION                     JAMAIS
R                             18
V                             23
B                             7
ENERGIE_PAR_NIV               110
FORCE_PAR_NIV                 10
SELECTION 			220 221 220 221
DEPLACEMENT 			222 220 222 221
ATTAQUE 			302 302 302 302
.
[BESTIAIRE]
DESCRIPTION                   Легкий всадник вооружен коротким копьем и ездит на быстрой, но не очень сильной лошади. Легкая кавалерия - обычный вид кавалерии в армии, так как им не требуется особая подготовка. Отряды легкой кавалерии используются для разведки, как передовые отряды, для поиска продовольствия на захваченной территории, для преследования врага.
ARMES                         Копье
PA                            9
DPL_PLAINE                    1
DPL_FORET                     4
DPL_MONTAGNE                  4
DPL_RIVIERE                   4
ATTAQUE                       1
ROMPRE                        -
EMBUSCADE                     9
MARCHE_FORCEE                 +4
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
