NOM                           Орк_Черной_Луны
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          3
TAILLE                        1
[ANIMATION]
ANIM__DPL                     LUNE_NOIRE___ORC_DPL 8 12
ANIM__ARA                     LUNE_NOIRE___ORC_ARA 8 12
ANIM__ARE                     LUNE_NOIRE___ORC_ARE 8 12
ANIM__DRA                     LUNE_NOIRE___ORC_DRA 8 12
ANIM__DRE                     LUNE_NOIRE___ORC_DRE 8 12
ANIM__SPL                     LUNE_NOIRE___ORC_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     LUNE_NOIRE___ORC_VOR 4 12
ANIM__MOR                     LUNE_NOIRE___ORC_MOR 4 12
ANIM__MOV                     LUNE_NOIRE___ORC_MOV 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         E
ENERGIE                       130
FEU_ENERGIE__MAX              0
VITESSE                       2
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         35
REGENERATION                  1
POISON                        0
HARNAIS                       -
FORMATION                     JAMAIS
R                             16
V                             16
B                             16
ENERGIE_PAR_NIV               100
FORCE_PAR_NIV                 5
SELECTION 			560 561 562 563
DEPLACEMENT 			560 561 562 563
ATTAQUE 			560 561 562 563
.
[BESTIAIRE]
DESCRIPTION                   Орки собираются в огромные грозные племена, из которых набрано большинство войск Черной Луны. Эти вояки побеждают числом. Однако, если в их рядах значительные потери, то они склонны пускаться в бегство.
ARMES                         Меч
PA                            4
DPL_PLAINE                    1
DPL_FORET                     2
DPL_MONTAGNE                  3
DPL_RIVIERE                   4
ATTAQUE                       1
ROMPRE                        -
EMBUSCADE                     4
MARCHE_FORCEE                 +2
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
