NOM                           Левиафан_Скелет
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          6
TAILLE                        4
[ANIMATION]
ANIM__DPL                     MORT_VIVANT___LEVIATHAN_DPL 8 12
ANIM__ARA                     MORT_VIVANT___LEVIATHAN_DPL 8 12
ANIM__ARE                     MORT_VIVANT___LEVIATHAN_DPL 8 12
ANIM__DRA                     MORT_VIVANT___LEVIATHAN_DPL 8 12
ANIM__DRE                     MORT_VIVANT___LEVIATHAN_DPL 8 12
ANIM__SPL                     MORT_VIVANT___LEVIATHAN_DPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     MORT_VIVANT___LEVIATHAN_MOR 4 6
ANIM__MOR                     MORT_VIVANT___LEVIATHAN_MOR 4 6
ANIM__MOV                     MORT_VIVANT___LEVIATHAN_MOR 4 6
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       1700
FEU_ENERGIE__MAX              0
VITESSE                       4
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        ARCHER
MANA                          0
MANA__MAX                     0
FORCE                         50
REGENERATION                  0
POISON                        I
HARNAIS                       1
FORMATION                     JAMAIS
R                             24
V                             0
B                             0
ENERGIE_PAR_NIV               50
FORCE_PAR_NIV                 8
.
REPALETTAGE                   1
[BESTIAIRE]
DESCRIPTION                   Левиафан-скелет - останки левиафана, оживленные некромантом Черной Луны. Черная Луна использует их в качестве платформ для стрельбы для лучников-скелетов. Могут призываться только ночью.
ARMES                         Топтание
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
