NOM                           Вампир
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          6
TAILLE                        1
[ANIMATION]
ANIM__DPL                     MORT_VIVANT___VAMPIRE_DPL 8 12
ANIM__ARA                     MORT_VIVANT___VAMPIRE_ARA 8 12
ANIM__ARE                     MORT_VIVANT___VAMPIRE_ARE 8 12
ANIM__DRA                     MORT_VIVANT___VAMPIRE_DRA 8 12
ANIM__DRE                     MORT_VIVANT___VAMPIRE_DRE 8 12
ANIM__SPL                     MORT_VIVANT___VAMPIRE_SPL 8 12
ANIM__ASP                     - - -
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     MORT_VIVANT___VAMPIRE_VAMP 8 12
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     MORT_VIVANT___VAMPIRE_MOR 8 12
ANIM__MOR                     MORT_VIVANT___VAMPIRE_MOR 4 12
ANIM__MOV                     MORT_VIVANT___VAMPIRE_MOR 4 12
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         B
ENERGIE                       1200
FEU_ENERGIE__MAX              3
VITESSE                       4
NIVEAU                        1
SORT1_IMAGE1                  TELEPORTATION
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          10
MANA__MAX                     10
FORCE                         100
REGENERATION                  1
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             0
V                             0
B                             0
ENERGIE_PAR_NIV               100
FORCE_PAR_NIV                 50
SELECTION 			940 941 940 942
DEPLACEMENT 			942 940 942 942
ATTAQUE 			943 942 943 940
.
[BESTIAIRE]
DESCRIPTION                   Вампир - лорд живых мертвецов, обретший вечную жизнь. Ужасный противник, использующий огромную силу и заклинания для победы.
ARMES                         Убивающий душу меч
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
