NOM                           Гигантская_Черепаха
FAMILLE                       HUMAIN
UNITE_COMBATTANTE             1
CAMP                          4
TAILLE                        3
[ANIMATION]
ANIM__DPL                     TORTUE_DPL 8 12
ANIM__ARA                     TORTUE_DPL 8 12
ANIM__ARE                     TORTUE_DPL 8 12
ANIM__DRA                     TORTUE_DPL 8 12
ANIM__DRE                     TORTUE_DPL 8 12
ANIM__SPL                     TORTUE_DPL 8 12
ANIM__ASP                     TORTUE_SPL 8 1
ANIM__VOL                     - - -
ANIM__DEC                     - - -
ANIM__ATT                     - - -
ANIM__ECR                     - - -
ANIM__SSP                     - - -
ANIM__SIN                     - - -
ANIM__SPJ                     - - -
ANIM__APU                     - - -
ANIM__CCA                     - - -
ANIM__CCH                     - - -
ANIM__VOR                     TORTUE_MOR 4 6
ANIM__MOR                     TORTUE_MOR 4 6
ANIM__MOV                     TORTUE_MOR 4 6
ANIM__APP                     - - -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       1000
FEU_ENERGIE__MAX              0
VITESSE                       4
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  -
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        GUERRIER
MANA                          0
MANA__MAX                     0
FORCE                         400
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               500
FORCE_PAR_NIV                 50
SELECTION 			82 83 82 83
DEPLACEMENT 			82 83 82 83
ATTAQUE 			82 83 82 83
.
REPALETTAGE                   0
[BESTIAIRE]
DESCRIPTION                   Гигантская черепаха мирная и спокойная. Однако, ее можно натренировать для войны, что и делают гномы. Тогда она становится огромной стрелковой платформой для гномов-арбалетчиков.
ARMES                         Топтание
PA                            -
DPL_PLAINE                    -
DPL_FORET                     -
DPL_MONTAGNE                  -
DPL_RIVIERE                   -
ATTAQUE                       -
ROMPRE                        -
EMBUSCADE                     -
MARCHE_FORCEE                 -
FORTIFICATION                 -
SPECIALE1                     -
SPECIALE2                     -
SPECIALE3                     -
