NOM                           Опускная_решетка
FAMILLE                       GRILLE
UNITE_COMBATTANTE             0
CAMP                          1
TAILLE                        3
[ANIMATION]
ANIM__DPL                     sN_GRILLE
ANIM__ARA                     sN_GRILLE
ANIM__ARE                     sN_GRILLE
ANIM__DRA                     sN_GRILLE
ANIM__DRE                     sN_GRILLE
ANIM__SPL                     sN_GRILLE
ANIM__ASP                     -
ANIM__VOL                     -
ANIM__DEC                     -
ANIM__ATT                     -
ANIM__ECR                     -
ANIM__SSP                     -
ANIM__SIN                     -
ANIM__SPJ                     -
ANIM__APU                     -
ANIM__CCA                     -
ANIM__CCH                     -
ANIM__VOR                     sN_GRILLE
ANIM__MOR                     sN_GRILLE
ANIM__MOV                     sN_GRILLE
ANIM__APP                     -
SELECTIONNABLE                oui
MORAL                         C
ENERGIE                       3000
FEU_ENERGIE__MAX              0
VITESSE                       0
NIVEAU                        1
SORT1_IMAGE1                  -
SORT2_IMAGE2                  0
SORT3_OMBRE                   -
SORT4_LUMIERE                 -
SORT5_BRAISE                  -
SORT6_CRISTAL_VERT            -
SORT7_ACTIVATION_ROUGE        -
SORT8_PORTE                   -
SORT9_PORTE_BLEU              -
CLASSE                        FORTIFICATION
MANA                          0
MANA__MAX                     0
FORCE                         300
REGENERATION                  0
POISON                        I
HARNAIS                       -
FORMATION                     JAMAIS
R                             -
V                             -
B                             -
ENERGIE_PAR_NIV               0
FORCE_PAR_NIV                 0
.
MATIERE                       PAVE
